candidate_id,insurer_name,plan_name,official_url,quote_or_application_url,broker_url,policy_wording_or_pdf_url,primary_evidence_url,source_refs_count,url_capture_notes
cigna_global,Cigna Global,International Health Insurance / Global Medical Cover,https://www.cignaglobal.com/,https://www.cignaglobal.com/quote/pages/quote/CountrySelector.html,,,https://www.cignaglobal.com/,1,No public policy wording or PDF URL was verified in this run.
allianz_care,Allianz Care,Care International Health Insurance Plans,https://www.allianzcare.com/en/personal-international-health-insurance.html,https://my.allianzcare.com/myquote/5,,,https://www.allianzcare.com/en/personal-international-health-insurance.html,2,No public policy wording or PDF URL was verified in this run.
bupa_global,Bupa Global,Private Health Insurance & Medical Insurance for Individuals and Families,https://www.bupaglobal.com/en/private-health-insurance,https://www.bupaglobal.com/en/private-health-insurance,,,https://www.bupaglobal.com/en/private-health-insurance,2,No public policy wording or PDF URL was verified in this run.
axa_global_healthcare,AXA Global Healthcare,International Health Insurance Plans,https://www.axaglobalhealthcare.com/en/international-health-insurance/,https://www.axaglobalhealthcare.com/en/international-health-insurance/get-a-quote/?camp=online-default,,,https://www.axaglobalhealthcare.com/en/international-health-insurance/,2,No public policy wording or PDF URL was verified in this run.
april_international,APRIL International,Long-term Expat International Health Insurance,https://www.april-international.com/en/long-term-international-health-insurance,https://www.april-international.com/en,,,https://www.april-international.com/en/long-term-international-health-insurance,2,No public policy wording or PDF URL was verified in this run.
william_russell,William Russell,International Health Insurance,https://www.william-russell.com/international-health-insurance/,https://www.william-russell.com/international-health-insurance/,,,https://www.william-russell.com/international-health-insurance/,2,No public policy wording or PDF URL was verified in this run.
msh_international,MSH International,First'Expat+ / International Health Insurance for Individuals,https://www.msh-intl.com/en/individuals/,https://www.msh-intl.com/en/comparisons-offers-msh,,,https://www.msh-intl.com/en/individuals/,2,No public policy wording or PDF URL was verified in this run.
now_health_international,Now Health International,SimpleCare / WorldCare International Health Insurance Plans,https://www.now-health.com/en/insurance-plans/,https://www.now-health.com/en/insurance-plans/,,,https://www.now-health.com/en/insurance-plans/,1,No public policy wording or PDF URL was verified in this run.
img_global,IMG (International Medical Group),Global Medical international health insurance,https://www.imglobal.com/,https://www.imglobal.com/international-health-insurance,,,https://www.imglobal.com/,1,No public policy wording or PDF URL was verified in this run.
aetna_international,Aetna International,Aetna International global healthcare entrypoint,https://www.aetnainternational.com/,https://www.aetna.com/employers-organizations/aetna-international-insurance.html,,,https://www.aetnainternational.com/,1,No public policy wording or PDF URL was verified in this run.
foyer_global_health,Foyer Global Health,Expat Health Insurance / International Health Insurance comparison,https://www.foyerglobalhealth.com/,https://www.foyerglobalhealth.com/plans-services/our-plans/international-health-insurance-comparison/,,,https://www.foyerglobalhealth.com/,2,No public policy wording or PDF URL was verified in this run.
henner,Henner,Individuals & Families international health solutions,https://www.henner.com/en/customers/individuals-families/,https://www.henner.com/en/customers/individuals-families/,,,https://www.henner.com/en/customers/individuals-families/,1,No public policy wording or PDF URL was verified in this run.
globality_health,Globality Health,YouGenio individual international health insurance plans,https://www.globality-health.com/,https://application.globality-health.com/?locale=en,,,https://www.globality-health.com/,1,No public policy wording or PDF URL was verified in this run.
morgan_price,Morgan Price International Healthcare,Evolution Health / Flexible Choices individual international healthcare plans,https://www.morgan-price.com/individual/,https://morgan-price.com/quick-quote/,,https://morgan-price.com/media/4ibjjwku/evolutionhealth_ant_policywording_04-26_v2-final.pdf,https://www.morgan-price.com/individual/,1,"Public policy wording, brochure, handbook, or benefit-table PDF was verified and captured."
passportcard_global,PassportCard,Expat Basic / Expat Comprehensive / Executive,https://www.passportcard.de/en/international-health-insurance/,,,,https://www.passportcard.de/en/international-health-insurance/,1,No separate quote/application URL was verified in this run. | No public policy wording or PDF URL was verified in this run.
vumi,VUMI,Absolute VIP / Universal VIP / Special VIP / Access VIP product family,https://www.vumigroup.com/,,,,https://www.vumigroup.com/,1,No separate quote/application URL was verified in this run. | No public policy wording or PDF URL was verified in this run.
integra_global,Integra Global,yourLife / PremierLife / yourFamily / PremierFamily,https://hcigroupglobal.com/integra-global/,,https://www.internationalinsurance.com/integra-global/,,https://www.internationalinsurance.com/integra-global/,1,Broker URL retained because it contains relevant public discovery evidence. | No separate quote/application URL was verified in this run. | No public policy wording or PDF URL was verified in this run.
medihelp_international,MediHelp International,My Global Health individual plans: Blue / Azure / Cobalt / Admiral / Royal,https://www.medihelp-assistance.com/en/medihelp-plans/individual-plans,,,,https://www.medihelp-assistance.com/en/medihelp-plans/individual-plans,1,No separate quote/application URL was verified in this run. | No public policy wording or PDF URL was verified in this run.
alc_health,ALC Health,Global Prima Medical Insurance / Flying Colours legacy entrypoints,https://www.alchealth.com/,,,,https://www.alchealth.com/,1,No separate quote/application URL was verified in this run. | No public policy wording or PDF URL was verified in this run.
geoblue_xplorer_bcbs_global_solutions,Blue Cross Blue Shield Global Solutions (formerly GeoBlue Xplorer),Worldwide Premier / Outside U.S. / Outside U.S. Select,https://bcbsglobalsolutions.com/individuals-and-families/international-medical-insurance/living-abroad/worldwide-and-outside-us/,,https://www.internationalinsurance.com/geoblue/xplorer/,,https://www.internationalinsurance.com/geoblue/xplorer/,1,Broker URL retained because it contains relevant public discovery evidence. | No separate quote/application URL was verified in this run. | No public policy wording or PDF URL was verified in this run.
safetywing_nomad_complete,SafetyWing,Nomad Insurance Complete,https://explore.safetywing.com/nomad-insurance-complete,https://safetywing.com/signup?product=nomad-health,,https://safetywing.com/nomad-insurance/complete/standard_nomad_insurance_complete_vumi+carrier_2024-12.pdf?referenceID=24734754&utm_source=24734754&utm_medium=Ambassador,https://explore.safetywing.com/nomad-insurance-complete,1,"Public policy wording, brochure, handbook, or benefit-table PDF was verified and captured."
genki_native,Genki,Native / international health insurance,https://genki.world/,https://consultation.genki.world/v2,,,https://genki.world/,1,No public policy wording or PDF URL was verified in this run.
acs_expat,ACS,ACS Expat,https://www.acs-ami.com/en/expat-health-insurance/acs-expat/,https://www.acs-ami.com/en/expat-health-insurance/acs-expat-quote-request/,,https://www.acs-ami.com/files/pdf/ACS-Expat-ALC-IB-en.pdf,https://www.acs-ami.com/en/expat-health-insurance/acs-expat/,1,"Public policy wording, brochure, handbook, or benefit-table PDF was verified and captured."
hci_group_health_protect,HCI Group,Health Protect / Protector Plans / Nimbl Health,https://hcigroupglobal.com/health-protect/,https://hcigroup.outgrow.us/P21-2026,,,https://hcigroupglobal.com/health-protect/,1,No public policy wording or PDF URL was verified in this run.
expatriate_group_global_health,Expatriate Group,International Health Insurance / Select / Primary+ / Primary+ Lite / Primary,https://www.expatriatehealthcare.com/international-health-insurance/,https://quote.expatriatehealthcare.com/healthcare/,,https://www.expatriatehealthcare.com/wp-content/uploads/2016/09/Expatriate-Group-Brochure-International-Insurance-Specialists.pdf,https://www.expatriatehealthcare.com/international-health-insurance/,1,"Public policy wording, brochure, handbook, or benefit-table PDF was verified and captured."
wellaway_expat,WellAway,EXPAT / Gold / Diamond / Expat Plus,https://www.wellaway.com/en/our-plans/expat/,https://portal.wellaway.com/Quote/EXPAT/Step1,,https://www.wellaway.com/media/filer_public/31/5d/315d7f0b-9976-4fd2-8b43-ad597fd59b4a/expat-plans-brochure_1292026.pdf,https://www.wellaway.com/en/our-plans/expat/,1,"Public policy wording, brochure, handbook, or benefit-table PDF was verified and captured."
securus_global_health_cover,Securus International,Global Health Cover,https://www.securus.co.uk/benefits/global-health-cover,,,https://www.securus.co.uk/storage/JZJIi-Securus%20Individual%20&%20Group%20Benefit%20Table%202026%20(USD).pdf,https://www.securus.co.uk/benefits/global-health-cover,1,"No separate quote/application URL was verified in this run. | Public policy wording, brochure, handbook, or benefit-table PDF was verified and captured."
